mot,definition
Manoro,"(noro) mt, s.: Mann-me hafaliana, "
Manorobona,"(robona) mt, s,: Tsara faniry sy maitso ravi-na (fiteny fandre matetika amin'ny tononkalo mba hilazana hoe mandrobona). loko, fotaka, savony: Manosotra menaka ny tarehiny t "
Manoroka,"(oroka) mt, p, (manoroha): Mampitehika ny molotra sy ny orona amin' ny tarehy na tanana, ho mari-pltlavana na fanajana olona iray. "
Manorotoro,"(torotoro) mt. P. (manorotoroa): Mamaky potipotika, manamontsana. "
Manorotra,"na Miorotra (orotra) mt. p, (manorosa na manorota): Manongotra mandriry amin'ny tanana, manapaka amin'ny antsy, ? M,h,: Manongotra, manombotra, manatsoaka, manala, mandrixy, manesotra. "
Manory,"(ory) mt, p,: Manorisory. "
Manosaka,"(tosaka) mt, p, (ma. nosaha): Mandraraka, mampitobaka,+ Manapaka. "
Manosika,"(tosika) mt. p, (ma. noseha): Mandronjina mba hivoaka amin'ny faritra iray na hamotraka: Aza manosi. ha ahy ianao fa teuam.be it9 akaikiko it9. 1 Mandroaka tsy ho anisan'ny fianakaviana na foko, manary: Ny fokonolona no nanosika azy any ivelan'ny tandna 1 Manakisaka ny vala namefena ny hazandrano mba hidirany ao anaty vovo: Manosika trondro, "
Manosina,"(osina) mt, p. (ma. nosena): Manafotetaka, mandrakotra amin'ny fotaka, vovoka, loko, loto..., manavona, manatavona. "
Manosoka,"(sosoka) mt, p, (ma. nosoha): Manampy na manisy sosoka mba hitovy tantana tsara. "
Manosona,"(sosona) mt, p, (ma. nosdna): Manisy sosona na zavatra anampy na anatevenana avy ao anaty: Manoso. na varatiarana, "
Manosotra,"(hosotra) mt, P. (manosora): Mandalotra, manatavona amin'ny menaka, Sahondra tsan'alina. ? Manamasina, mametraka na manokana hiandraikitra raharaha lehibe sy ambonY: Manosotra ho mpitandrina. -  Manoso-potaka: manaratsy ny olona marina no-ho ny volohala na tsy fitiavana. / Manoso.dratsy: mitovitovy amin'ny manoso-potaka ihany, saingy ny ratsy ataon'ny hafa no lazainy fa ataon'ilay olona haratsiny, "
Manosy,"(hosy) mt, p, (mano. se): Manitsaka: Aza fady fa manosy ny tongotro ianao 1 h,o,: Manao tsinontsinona manimbazimba: Azq manosi~ hosy ny nahitanao soa. + Mamaky bainga amin'ny tanimbary mba hampahalemy azy , hamafazana na hanetsana: Efa manosy tanimbary izao ny olona, 1 Mambabo fana-nana, "
Manota,"(ota) mt. p. (manotd): Manao hadisoana, heloka: Nanota taminao aho ka tsy mendrika ny hantsoina hoe zanakao akory. 1 Mandika didy na fitsipika na zavatra tsy azo atao: Manota fady, "
Manotahota,"(tinta) mt, s,: Miteraka fanaintainana, fanintontsintonana ao amin'ny tena, "
Manotikotika,"(kotika) mt. p. (manotikoteha): Mamotipotika: Aza manotikotika ny ahanjoko, + Mampisafotofoto, mampisavorovoro: Manotikotika kofehy, ? mt, s.: Toa tsaroana misy mandroridroritra, mitambolimbolina, mitangolika: Manotihotika ny kiboko, "
Manotina,"(otina) mt. p. (ma. notina): Manozongozona, manetsiketsika (hazo). "
Manoto,"(toto) mt. P. (mono. toa): Mamely amin'ny flsoirana amin'ny tandroka: Mora fan,tarina ny omby manoto, -  Mifanoto rahona: enti-milaza rahona misatrotroka, na koa fahamaroan-lavatra samihafa mety hanahirana. / Mifanoto ulntana: enti-milaza olona roa izay tsy mifanaraka fa mifanimba ny tonon'androny, "
Manotohoto,"(hoto) mt. P. (manotohotoa): Mandrovitra, mandrotika, mamotipotika, "
Manotototo,"(totototo) mt. P. (manotototoa): Mampivezivezy etsy sy eroa tsy misy vokany toy inona, "
Manototra,"(tototra) mt. P. (manotora): Manarona: Manototra tany ny vodihazo, * Mameno: Manototra na. handro ny latabatra, + Mandrakotra: Kopahy ny uouoka manototra ny akanjonao, ? Manafotra: Manototra hersa. tra olona, "
Manototra,"(tototra) mt, s. (manotbra): Manetsiketsika ny foly amin'ny fanenjanana azy ka amin'izay izy mitovy tantana hatrany tsy misy madilana, "
Manotraka," Misy ketrona, miketrronketrona: Manotraka ny hoditr'io biby io, + Mailamailaka, marisika: Nano tra. ka er? Rakoto raha niangaviako hikarahara ireto zozo kamboty ireto. / Gaga aho fa tsy nanotraka firy Lay raha nilazako ny flkasanao, "
Manotrika,"(otrika) mt. P, (manotreha): Mitahiry vain'afo ao anaty lavenona: Manotriha afo. 1 Manao amin'ny toerana tsy azon-drivotra mba ho masaka: Manotrika voankazo, + Manafina, manrpiery, mampanritsaka miaramila; na enti-milaza ny miaramila miaflna, miery, mifitsaka. "
Manotrona,"(otrona) mt. P. (manotri)na): Mamihina na manodidina amin'ny sandry sy ny tanana: Raha tsy olona telo tsy afaka hanotrona io vatana bontdna lo, 1 Manodidina: Manotrona ny ta. ny ny ranomasina, ? Miaraka amin'ny olona iray mba hiaro azy sy hanome voninahitra azy: Nanotrona ny lehiben'ny governemonta ny ben'ny tandna sy ny mpitondra fanjakana teo an.toerana, "
Manotsokotsoka,"(kotsokotso. ka) mt, P. (manotsokotso. ha): Manetsiketsika. "
Manoty,"(oty) mt. p, (manota. za): Mampisara-nono (zaza): Manoty zazo, "
Manova,"(ova) mt, p, (malin-ad): Manolo: Nanova akanjo Izy mba tsy ho fantatra. 1 Mampanjary ho hafa: Na-nova ny rano ho divay t Je. so tamin'ny fanambadiana tany Kand, ? Manamboatra ho hafa, ho vaovao: Tokony hanova famindra Lay raha te hahomby, "
Manovaka,"(ovaka) mt. p, (ma. M novaha): Manendaka hoditra manify; manongo mafy izaitsizy. "
Manovana,"(tovana) mt. P. (manoudna): Manampy avy ao ambany na avy eo aoriana: Tsy maintsy manovana it9 tady it9 ianao fa fohy loatra Iloy tzy, "
Manovantovana,"(tovana) mt, s,: Manitatra izaitsizy; manampy lainga ny zavatra marina, "
Manovo,"(tovo) mt, p, (mono. voza): Maka rano amin'ny zinga ao am-pantsakana na amin'ny renirano: Manovo rano amin'ny renirano izahay. 1 Mamindra rano tsikelikely ho amin'ny toerana hafa: Aza manovo rano a. min'ny sotronao ao anaty tsangambaua, fa ny sotro iombonana anovozana. * h, o,: Maka zavatra miandala. na ao anaty tahiry lehibe: Manovo hery ao amin'ny fivavahar.a izy, "
Manovoka,"(ovoka) mt, P. (rnanouoha): Manala, manesotra, manatsoaka; maniny mafy dia mafy, mandevilevy. "
Manovona,"(tovona) mt.p. (ma. novona): Manampy avy eo ambony na avy eo aloha: Manovona a eo alohan'ny fototeny no fanaovana ma. toantenin'ny atao, toy ny hoe sondrotra ?asondrotra. "
Manovotrovotra,"(hovotra) mt, P. (manovotrovbta): Manozongozona, manontsonkontsona. "
Manoy," p,t, (t, tr,): Mihetsika indray (aretl-nify),"
Manoza,"(oza) mt, p, (mono_ ad): Manasa (tarehy,.,). "
Manozona,"(ozona) mt, p, (manozbna): Maniry ratsy ny ha-fa: Nanozona ilay lamina tsy nandray azy izy, "
Manozongozona,"(hozona) mt. p, (manozongozona): Manetsiketsika mafy ary imbetsaka: Manozongozona ny hazo ny rivo-mahery, + Mampihontsona, manaketraka: Tsy mi. sy afaka manozongozona ny fttokiako anao, + Mitady ha-ka: Mila hanozongozona ny taniko iny lehilahy iny, "
Manta," Enti-milaza zavatra tsy nandrahoina, tsy masaka: Misy, hono, olona mthinan-kena monta, 1 Mbola maitso, tsy matoy: Tsy fioty ny voankazo raha manta 1 Li. f : Manamanta, fana. manta, mpanamanta 1 ana. mantana, fanamantana / mahamanta 1 mantamanta 1 hamantana 1 hamanta 1 fahamantana. "
Mantamanta,"Tsy dia tena manta. / h,o,: Tsy vita tsara tanteraka: Asa mantamanta, 1 TsY nomasahana tsara, tsy nalaina ambony tsy nalaina ambany, tsy nodinihina tsara: Heuitra mantamanta, "
Mantoanto," Enti-milaza nahandro tsy tsara masaka: Mantoanto izany sakafo iza. ny, 1 Li. f.: Manamantoanto, ma. hamantoanto, "
Mantra,"(otra) mt. p, (mono. ra): Misafo sady mamoritra amin'ny tanana ny faritra iray amin'ny tena mba hampahalefadefaka ny hozatra marary na mivonto na vizana. "
Mantsafofoka,"p, mt,: Marary an-doha;jenjina,fanina, "
Mantsaka,"(tsaka) mt, p. (man. tsak?): Manovo rano eny andoharano na amin'ny lava. drano namboarina: Indreny ny tououauy mitanjozotra milqloha siny auy nantsaka tany atstinanan.tandna. "
Mantsana,"p.t. (t, ta): Tontolo mipaka, maninjitra: Telri taona mantsana. "
Mantsana," Kely mailaka sy kinga. i Li. f.: Mantsamantsana, "
Mantsangaingy," Miavosa: Antontam.bary mantsangain. gy. 1 h,i,: Enti-milaza asa betsaka mivangongo tsy vita. "
Mantsasaka,"(antsasaka)  Enti-milaza anana na voankazo mialina andro ka tonga vonivony, manomboka ho simba, efa madiva ho lo. "
Mantsina,"(hantsina)  Ratsy fofona aoka izany toy ny fofona lamokan'atody vaky, ?	Jer, Maimbo, "
Mantsy,"Miantso, miteny an-dRanona: Hoy, hono ianao tamin-dRasoa mantsy, ahy: ""Olona mpamitaka iny""; marina ve izany? "
Mantsy,Jer. Manko.
Many,"  Fofon-kelika. / P. t.: Maimbo helika,"
Maoderina,"(fr, moderne)  Misy ankehitriny: Ny sam. bondanitra dia azo lazaina ho uokatry ny fikarohan'ny siansy maoderina, / Manaraka ny toetr'andro: Tououauy maoderina, "
maody,"(ma-ody) Mitondra ody fiarovan'tena amin'ny ody ratsy na fanafody itandremana amin'ny aretina, Malina. |Ny mahery tsy maody tsy ela velona. "
Maody,"na Maodimaody  'Mahina, mahimahina ka miomanomana amin'izay ho avy, mitandrina, malina: Mb? maodimaody ihany fa tsy fantatra izay tian'iny olona mitarataratra ny tranonareo iny hatao. 1 Ratsy, kaody: Asa na inona na inona no nataon'Ikoto fa maodimaody er9 izy isaky ny mifanena a-m iko, - t.i.f.: Mahamaody, maha: maodimaody, * Ohab,: Mahery tsY maody tsy ela uelona: enti-milaza fa na matanjaka aza ianao nefa tsy malina dia mety tsy ho ela velona. "
Maoja,"na Moja a,: Taolam. balahana izany hoe ilay tao. lana ifandraisan'ny tenabe sy ny fe. "
Maola,"na Maolamaola  Mi. pelipelika, mijefijefy, jejojejo: Itony koa efa dia anti. maola; tsy ny taona no jere. na, fa 'ndeha hi-cary adala amin'ny tanora eo, - t.i.f.: Tafamaola / mimaola, fimaola, mpimaola 1 imaolamaolana, fimaolamaola. na I mahamaola 1 fahamao. la I hamaolana 1 fahamaola. na. "
Maona," Firiotana mafy, fandehanana hafngana, - t.i.f,: Mimaona, fimaona, mpimaona / imaonana, fima. onana 1mahamaona. "
Maonjana," (olona) Ranjanana sady tomady, matanjaka, (zavatra) Kely jerena fa mavesa-danja: Roapolo kilao ve io entana kely to8-Ma. rina mihitsy tzany, tompoko, satria maonjana ny entanao. 1 Li. f: Maonjanina, hamaon. janina / manamaonjana, fa. namaonjana, mpanamaonja. na i anamaonjanana, fanamaonianana / mahamaonjana / hamaonjanana, fahama. onjanana, "
Maonjanina,"(maonjana) mt, ih,: Atao tonga mavesatra, "
Maorara,"a,: Anaramborona, "
Maorina,"na Maorona  Tsa. ra fijoro, tsara orina, ? Kelikely matotra, mendrika: Maorimaorina ilay tranona. reo any ambaniuohitra, i Li. f,: Maoromaorona. "
Maoritra," Ringitra, pori. tra, simba. - t.i.f.: Maorimaoritra. "
Maosy,"(hosy)	Voahosiho. sy, voahitsakitsaka: Efa mao- sy ery ny ahitra andalouanareo maraln.tsy hariva, 1 a,: Anarana iantsoan'ny ankizilahy ny rongony fohina, a Li. f.: Manamaosy. "
Maota,"na Maoty (Btl) a,: TenY ilazana ny omby rehefa niofo indray mandeha ny tan. dronY. "
Maotantsiva,"(Ski) a,: Hoza-dra lehibe ambanin'ny hazonda. mosina akaikin'ny trafon'ny omby. "
Maotera,"(fr, moteur)  Fitam. baran'ny mima miteraka he. ry mampandeha fiasana na fiara jray. "
Maotina,"na Maotona  TsY tia pelipelika na jejo fa mi- petrapetraka, mitandrina tsy hanao fihetsika manafintohina ny sasany: Zazauauy maotona. 1 h.i.: Enti-milaza ny andro tony tsara, tsy mandrivotra: Maotina dia maotina izany andro izany, i tif: Maotomaotona 1 ha. maotona, fahamaotona 1 hamaotonana,fahamaotonana, "
Maoty," Efa misara-nono, efa mahasara-draY aman-dre- ny; vory hevitra sy sains: Za- za tsy maoty: Zaza mbola tsy misara-nono. 1 h,i.: Ma- nan-toetra matotra, "
Mara,"na Maramara  Loko fotsy sy mainty mifanelane. lana, i f,: Hamara 1 hamarana 1 fahamara / fahamarana. "
Marabe, Ireo miaramila mpanaraka nY Andriana taloha.
Maradona," Sady vaventy no matanjaka sy fenofeno, tsara sy vaventy. "
Maradondradona,"(radona) Tsara bika, tsanganana ma. hafinaritra, "
Marafoka,"(rafoka)  Malia, mora tapaka na vaky; malemy, tanora. "
Maraina,"a,: Fizaran 'ny andro hatramin'ny mangiran-dratsy ka mandra-pahatongan'ny mitataovovonana: Amin' ny folo marpina izao. - t.i.f?: Manaraina, fanaraina, mpanaraina / anarainana, fanarainana 1 maraindraina / hamaraina 1 fahamarainana, -  F,.p,i Marainakoa: maraina be alohan'ny flposahan'ny masoandro, / Marainalina. koa: vao manglran-dratsy, I Marainakoamborizano: diso fotoana, tratra antoandro, / Any maraina na any naraina: anikeheo maraina, / Hatry ny maraina na naraina: nan. dritra ny maraina androany. "
Marakely,"a,: Miaramila kely, 1 h,i,: Andian'ankizy mila. hatra manao matso sy asam. pinga. 1 Hazandrano matsiro fa be taolana. "
Marambato," Ilazana ny lamba efa madiva ho rovitra, "
Marambotry,(Tsm)  Il aza. zana ny volon'omby mena. mena manopy mavo.
Maranantsody, Hatsatra; enti-malaza marary mbola malezo sy hatsatra
Marani-doha,"kitso loha, mitsilotsilo, mipilopilo, tsoky, ? h,o,: Kinga, matsilo saina: Maranitra ity mpianatra it9 ka tsy mahagaga raha ma. homby rahatrizay. ? F,-p,: Marani-bava, maranidela: fatratra raha hiteny, malama vava, ? M.h,: Fihara-bava, / Maroni-tsaina: matsilo saina, malaky mahataka-javatra, IMarani-doha: mi. tsilotsilo. ? M,h,: Kitso loha, / Omby maranitra: ombin' andriana taloha izay noranitina ny sofinY, * Ohab.: Izay maranitra adidy: enti-milaza fa tokony ho amin'ny sahaza azy avy no ampiasain? ny zavatra na olona; ny ohabolana feno dia: ""Ny avo feo miantso, ny lava manaka.drano, ary ny mara nitra adidy "". ? M.h,: Marani.doha filo, fiharatra, kitso loha, jritsoina, mitsilotsilo, tsokiloha, milohalefona, miezoezo, kivahivahinY, tsamaka, mira. niranY. "
Maranitra,(ranitra)  Manify dia manify ka mahadidy sy mahatapaka: Maranitra kokoa ny hareza noho ny an- tsy. 1 Mitsilotsilo loha: Fan- tsika maranitra omena ahy fa dombo loatra ity /1 M h:
Marantsifotro,(Tsm)  Ilazana ny volon'omby mena-mena singantsinganin'ny mainty.
marao,zaza no dikan'ny teny hoe"marao"@ fiteny antesaka
Marao,"na Maraorao (rao, raorao)  Masaisay raha kasihina, tsy malama, misy mi. bontsimbontsina, marokoro. ko, masaosao: Vat() maraorao, -  F,.p,: Marao lela: enti.milaza ny zaza mandray efatra mbola minono nefa manomboka mihinam-bary, "
Maraokanina,"(fr. Marocain)  Ny firenena monina any amin'ny tanin'i Maraoka (A-frika avaratra andrefana), 1  Momba an'i Maraoka na an'i Maraoka na avy any Maraoka: Milaz? vokatra marao- kanina vitsivitsy, "
Mararirary,"marisarisa, mafanafana. "
Marary,"(rary)  Voan'ny a retina, tsy salama, tsy meti mety: Marary ny kibony, 1 Mijaly: Marary nY foko, - t.i.f.: Maharary, farary, harary. -  F,-p,: Izay marary andrianino na izay marary andriana: enti-milaza fa tokonY hokarakaraina mihoatra nY olona rehetra ny marary fa ana-nana adidy izy raha tsy voatsabo, 1 Manao anatY fo ma. harary: ny zanaka no ao anaty fo ka tiana, koa raha misy miady dia n9 an'ny tena iha. ny no ombana, / Mararin. janaka: ory sy malahelo mafy raha vao misy mahazo na midona amin'ny zanaka, / Mararin.teny: olona mors to. hina amin'izay teny reny mikasika azy ka maz?na misafoaka sy tezitra raha vao itenenana fanakianana momba azy, / Marary ouana: valaka sy malemilemy ny nofo aman-tsaina noho ny havizanana na' eritreritra na tebiteby. / Tsy marary tsy marikoditra: salama tsara tsy mi. sy aretina na kely aza, * Ohab.: Izay maharary no itoeran'nY aina: tsaroana are, mihoatra noho ny rantsam-batana hafa, ilay marary amin'ny tena, ka saika ao mandrakariva nY sains sy ny eritreritra, / Mpisikidy mila uoatsiary ka mampandihy ny marary: entianilaza ny fampanaovana olona ny tsy to. kony ho tandrify azy, i Raha tohina ny aty, marary ny afero: ohabolana enti-milaza fifandraisan-javatra roa samy hafa ka izay mahazo nY iray dia mahavoa ny ilany koa, / Tanan.kauia sy hauanana izay didia-maharary: enti-mi. laza fa samy rantsambatan' ny tena ireo ka na iza na iza voadidy aminy, dia samy ren'ny tena maharary tokoa, ? M,h,:Madisadisa, malazolazo, somazotsazoka, mavo. zovozo, marisarisa, manetsetra, mangorangorana, mafanafana, marbnaritra, marikoditra, mitsangambolo, mangovltra, mihararetra, mihovihovy, manarandefona, mipararetra, manavy, mantsa fo foka, mangovihovy, mangorintsina, Marary mafy, mahamay, mangotrakotraka, mihonaka, mandrenoka, mandranoka~ very saina, tsy mahalala olona, Maharary, manaikitra, manaintaina, mitsakotsako, manintasinta, manombotrombotra, mangirifiry, mangorintsina mamolivoly, miketriketrika, mangotsakotsoka. "
Maratra,"(ratra)  Misy voaniavatra na rangotra ka nien. daka sy kiaka ny hoditra ary loaka ny nofo: Naratra ny lohany tamin'izy nianjera ta. min'ny bisikileta, ? h,i; Voa mafy, lany: Nataoko naratra ny hena, tary amin'ny uary be men?ky ry Ingahy Rainikoto. "
Marazoka,"Ma razod raz oka (ra. zoka)  Reradreraka, osa-osa, malazolazo, "
Mardranto," (ranto) mt.p. (man-da ntoa): Mandeha manao va otra any an-tany lavitra n7 fonenan'ny tena: Eninta ma izao no nandranto any amorontsiraka Rabe. ? Mandeha any an-tany lavitra tuba hitady vola na zava-tsoa ha-fa: Lasa nandranto fianarana ambon y any andafY izy"
Marefo,"(refo)  Mora tapa-ka, mora vaky: Marefo ny rantaan.kazo maina, ? M,h,: Malia, makiana, "
Mareforefo,"(refo)  Mora vaky izaitsizy, ~ a,: Karazan' ahitra. "
Marejoka," Maniflnify, klvahivahiny, 1 Osaosa, reradreraka, "
Marenina,"(renina)  Tsy mandre, donto: Marenina ha_ trany an-kibon-dreniny io olona io, ? h,i,: Enti-milaza vilany na fahandroan-kanina hafa eia vao mahamasaka na. handro: Marenina koa it9 ui. lany ity: aiza ve ka dia adiny iray tsy hahamasa.bary? -  F.-P.: Be marenina: tsy mi. haino anatra, be ditra, mafy sofina, / Mody marenina: mandre nefa manao toy ny tsy mandre. ?  Mamono sofina, manentsin-tadiny, "
Maresaka,"(resaka)  Resahin'ny olona hatraiza hatraiza, malaza: Ny zava-maresa. ka amin'izao fotoana izao dia ny fisamborana ny mpangalatra omby, ? Be olona, be tabataba: Naresaka erY ny taena androany, fa tsy ohatra ny isan.kerinandro ? M,h,: Mahoraka,makotroka, "
Marevaka,"(revaka)  Fano haingo ka manaitra ny maso; tsara, maredona, ka manaitra ny sofina. "
Maria,"(ria)  Ilazana ny toetran'ny rano mandeha mikoriana fa tsy mihandrona na monina: Entin'ny rano ma_ ria ny lakana ka mandeha tay uoizina akory, "
Mariaka,"Mariadriaka fa indrin. dra Sariaka (riaka)  Falifaly lalandava amin'ny fifandraisana aman'olona, "
Mariazy,"(fr, mariage) a,: Faneken'ny lehilahy sy vehivavy hivady marina eo anatrehan' ny fanjakana sy ny flangonana. "
Maridrefy," Filazana habe na halavan-javatra amin'ny taipika ampahafolo na ampahazato na ampaharivo...n'ny tena habeny; ohatra: amin' ny sarintany vita marldrefy 1/250.000, ny halavana lsm dia lsm x 260.000 sm na 2500 m, na 2 km,5 amin'ny tena izy ; valandotra, "
Marihitra,"(rihitra)  Sady matevina no maditidity: Am. Pio tany lhany ity rano lty harihitra taara, "
Marijijaka,(Tam)  Omby mainty misy pentimpentina fotsy eo an-kandriny..
Marijo," Enti-milaza ny om. by fotsy handrina, Var-lira "
Marijy,"(Tsm) a,: Entl-milaza omby tokam-bolo misy pentina fotsy betsaka eo an-kandriny, "
Marika,"(fr, marque) a,: Soratra na sary milaza isa: Ataovy marika arabo fa tsy romani-na, 1 Fanisana, fahaizana manisa: Mianatra marika, / Manao marika, 1 Famantarana: Aaiana marika ny lamban'ny kilaaimandry, ? Sary fanamarinana, porofo: Ato. lotray anao it? voninkazo it9 ho mariky ny fankaaitrahanay, ? Fakan-tahaka, filamatra: Ity nomeko anao ha-tao marika, ka nahoana no nouanao? ~ Soritra: Ny ba. temy dia maniay marika tay azo vonoina ao amin'ny fa. nahy, - t.i.f: Amarika, marihina, voamarika / manamarika, fanamarika, mpanamarika / a. namarihana, fanamarihana, ? F,-p,: Mari-bava: Asa mari. ka tsy soratana fa atao am-bava fotsiny, ( Mari-bola: fanisana vola amin'ny anarambola malagasy. / Marika an. taaina: fanaovana marika tsy atao an-taratasy fa an-tsaina fotsiny ary haingana. / Ma_ rik'omby: fitomboka atao amin'ny omby hahalalana nY tompony. / Tompo-marika na mpanome marika: ny o10-na mamorona ny tarehy a mambikan-iavatra hatao, toy ny trano, tetezana... / Tay tonga marika: tsy araka ny tarehy amam-bika novinavinaina, (Atodiny marika: enti-milaza atodin-kao vao foy izay amantarana fa misy hao ny loha ahitana izany, "
Marikivy," Handatra ary manaikitra kely ka mampiteraka ranonivy: Marikivy ny voasary makirana, - t.i.f.: Mamparikivy / am. parikivina / mihamarikivy / harikivy, "
Marikoditra,"(marika - hoditra)  Mahatsiaro mangatsiaka ka mitsangantsangam-bolo, "
Marikoriko,"(rikoriko) Tsy tia mainty, madikidiky, sorena, maloiloy: Marikoriko aoka izany aho rehefa manda. lo eo akaikin'io fit?eram-pa_ ko io. ? h,o,: Lotlka; "
Marimarika," Mahina, ma. himahina: Marimarika ihany aho raha nahita azy nihirahira foana, nefa tay nampoiziko dia ho uery saina izy, ~ M,h,: Maodimaody, "
marina,"marina : araka ny fiforonanteny *m-arina. ny arina dia mitovy @hoe zavatra mitongilana ka aremina.
Ny marina mdray kosa dia zavatra mahitsy mijoro tsara ary ts mis mitongilna na ary manaraka ny rariny
Ohabolana mahakasika an 'izany"" ny marina tsy mba maty"" ,
""Ny marina ts hita raha tsy @rano lalina ""
"" Ny marina mitavozavoza dia tsy maha leo ny lainga tsara lahatra""
ny marina @ankapobeny dia mampisy ny olana @ fiaraha monina satria takona ny fihavanana eo @andaniny sy ankilany raha eo fitsarana toejavatra iray karaha ny fitsarana no asina reseka fa maro be ny edrika isehoan ny Marina.
Nataoko izy  ity mba handrianiko ny teniko mba ho anjarabikako eo @kolotora malagasy "
Marina," Ilazana toerana mitovy tantana, tsy misy avo sy iva, tsy mikitoantoana: Lavo an-tany marina lahy ianao! ? Ilazana toe-javatra mifanaraka amin'ny tena izy, tsy diso: Marina fa roa ampiana roa efatra. ~ Ilazana toetran'olona tsy mamitaka, tsy mandainga, manaraka ny rariny sy ny hitsiny: Mpampiasa marina Rabe fa omeny karama mifanentana amin'ny asa ataony avy ny mpiasa aO aminy. 1 t.i.L: Marinina, hamarinina, voamarina j manamari. na, fanamarina, mpanamarina / anamarinana, fanamarinana j mahamarina j miha. marina / marimarina / hama. rinana j fahamarinana / ha. marenana. -  Marina mafy: teny enti-manamafy ny filazana fa tena marina izay lazaina. / Marini-bava: tsy misy diso izay lazaina. / Marin.drano: ny fitovizan-tantana tsy misy avo sy iva amin'ny vohon'ny rano monina, j Marin.toerana: manan-toerana tsy misy avo sy iva ary azo antoka. / Marim.bilana: fianianana fotsiny na dia tsy marina aza izay lazaina. / Marina raha: fomba fiteny enti-manda 1-zay lazaina aorian'io teny io: Marina raha naka ny bohinao aho (mand? mafy izy fa tsy naka). / Marina raha tsy: enti-manamafy izay lazaina aorian'io teny io: Marina ra. ha tsy naka ianao fa ny zanako mihitsy no nahita (mana? mafy fa naka mihitsy kosa ny fehezanteny), ! Marena tokantrano: teny firariana atao amin'ny mpanambady vao mba ho tsara orina ny fanambadiany. / Manao mari-na tsy to: mandainga, tsy milaza nY marina. * Ohab.: Ny marina mifauozauoza tay mahaleo ny lainga taara lahatra: enti-milaza ny halehiben'ny fahaizana miteny sy mandahatra ka izay tsy rrrahazava sy manohana ny marina ananany dia mety ho resin'ny lainga voalahatra amin'ny teny mirindra tsara. "
Marina," Foko lehibe monina afovoan'ny Nosy, izany hoe amin'ny tampon-kavoana voafaritry ny tanin'ny Vonizongo, avaratra, nY tendrombohitr'Ankaratra, aisimo, ny reniranon'i Sakay, andrefana, ny tandavan-tendrombohltr'Angavo, atsinanana. Tanan-dehibe: Antananarivo, Antsirabe, Miarinarivo, Soavinandriana, Ambatolampy, Arivonimamo, Manjakandriana. Samy manana ny anarana iantsoany ny Merina ny foko samihafa any anindrana: Amboalambo, hoy ny Sakalava; Ambaniandro na Merinalavasofina, hoy ny Betsileo; Antaimerina, hoy ny foko sasantsasany, ary Hova, hoy ny Betslmisaraka. "
Marirana,"(rirana)  Misy rirany, miendrika lelan-javamaranitra. ? Enti-milaza tarehin'olona maranidranitra, izany hoe somary mahiahia, fa tsy mba dombodombo petapetaka, "
Marirandrirana,(rirana)  Enti-milaza olona maranidranitra ny tslpika mamaritra ny tarehinY.
Mariry,(riry)  Tsy misy ravina: Mariry ny ahitra a. min'ny ririnina.
Marisarisa,"(risarisa) Mararirary, tsy salamalama, misy rofy kely: Tsy ho afaka hankany ambanivohitra izahay anio fa misy marisarisa ny ankizy, ?  Mavozovozo, marofirofy, tsy metimety. "
Marisika,"(riaika)  Mazoto hanao zavatra, mavitrika, mahery fo: Marisika amin' ny fianarana ny zanaho, 1 Finaritra amin'ny zavatra iray, mandray ardara amin' ny zavatra iray: Tsy mariai. ha ny hipetraka any ambani. uohitra lzy. "
Maritiora,"na Martiora na Martiry (fr, martyr)  Olona mahafoy ny ainy mba ho vavolombelon'ny finoany na ny fitiavany olona na zavatra iray: Azo lazaina ho marltio. ran'ny fi7enena ireo maty tamin'ny tolom-pahafahana. "
Maritra,"na Marimaritra  Vao mafana kely foana: Ento amin'izay ilay rano, r'Iko. to a! ? tsy mbola mafana fa uao marimaritra e! ? M.h,: Afa-dranom-panala, mango. rovitsika. 1 h,i,: Mafampana toy ny hanavy: Isan.kariva ty zaza ity marimaritra, -  F,-p,: Mard.hoditra: mangatSiaka ka mahatsiaro mitsangantsangam-bolo (mafana ny hoditra ka mahatsiaro mangatsiaka ny tena voakasiky ny rivotra manodidina). "
Marivo,"(rivo)  Tsy lalina, tsy lehibe ny elanelan'ny va. vany sy ny vodiny; tsy mifanalavitra ny vavany na ny vo. hony sy ny fanambaniny: Marivo it9 rano it? fa hatreo am.balahana fotsiny, ? Tsy latsaka lalina, manifY: Mariuo no fo, "
Maro," Mihoatra ny iray: Ny telo dia azo lazaina fa efa maro. 1 Tsy vitsy, betsaka: Maro no nadinina, fa ui. tsy no afaka. - t.i.f.: Maroina, hamaroina / manamaro, fanamaro, mpanamaro / anamaroana, fana. maroana / mahamaro / maro. maso j hamaro, fahamaro, hamaroana, fahamaroana. "
Maroandro, Hazo fanao tehina.
Maroatody,"a,: Zavamaniry misy vodiny toy ny ovy fanome ny vorona. "
Maroavolona,"a,: Anaran-kazo, mitovy amin'ny Malemllahy, "
Marofaka,"a,: Anaran-javamaniry, "
Marofirofy,"(rofy)  Tsy dia salama loatra, "
Marofy,"(rofy)  Marary, voan'ny aretina: Salama tsy marofy izahay rehetra. "
Maroina,(maro) mt. th. (maroy): Atao tonga maro.
Marojinja,"a,: Karazam-bakana, "
